"UCD","SpT tabulado","$T_{eff}$ [K] en VOSA","SpT según $T_{eff}$"
"Gaia DR3 1037113385123940480","M7V","3000+2100","M5-5.5+L2"
"Gaia DR3 1051037840895867648","M7V","3000+2200","M5-5.5+L1"
"Gaia DR3 1063644909939412352","M7V","3000+1850","M5-5.5+L4"
"Gaia DR3 1129917762849092864","$T_{eff}=2700\ K^{(b)}$","2800+2000","M6+L2"
"Gaia DR3 1160202367527442688","$M7^{(a)}$","3000+1300","M5-5.5+T0"
"Gaia DR3 1206410791090664192","M9V","2700+1200","M7+T3"
"Gaia DR3 1226591949059568896","$M7^{(a)}$","3000+1200","M5-5.5+T3"
"Gaia DR3 1275468638233213312","$M7^{(a)}$","3000+2000","M5-5.5+L2"
"Gaia DR3 1296693992948457216","M7V","2900+2000","M5.5+L2"
"Gaia DR3 1304853090781538432","$M7^{(a)}$","3000+1200","M5-5.5+T3"
"Gaia DR3 1316092882756586112","M6V","2900+2000","M5.5+L2"
"Gaia DR3 1323957414551917824","M7V","2900+2200","M5.5+L1"
"Gaia DR3 1351447709210762752","M7V","3000+2200","M5-5.5+L1"
"Gaia DR3 1374970798414412928","M7V","3200+2800","M4+M6"
"Gaia DR3 1391232197431764352","M7V","3000+2300","M5-5.5+L0"
"Gaia DR3 1403863283932452992","$T_{eff}=2900\ K^{(b)}$","2900+1300","M5.5+T0"
"Gaia DR3 145947077527182848","M7.0D","2600+1700","M7.5-8+L5"
"Gaia DR3 1462790858005677824","$M7^{(a)}$","3000+1850","M5-5.5+L4"
"Gaia DR3 1487944003260935680","M7V","3000+1600","M5-5.5+L6"
"Gaia DR3 1507017957317223552","M9V","2600+2100","M7.5-8+L2"
"Gaia DR3 1515756394698853120","M7V","3000+1600","M5-5.5+L6"
"Gaia DR3 1519401756781087104","M7V","2900+2000","M5.5+L2"
"Gaia DR3 1558960394146787840","L0D","2700+2000","M7+L2"
"Gaia DR3 1632449453542341760","$T_{eff}=2900\ K^{(b)}$","2800+1200","M6+T3"
"Gaia DR3 1910554736350708736","$T_{eff}=2900\ K^{(b)}$","3000+2100","M5-5.5+L2"
"Gaia DR3 1938529473261040640","M8V","3100+2300","M4.5+L0"
"Gaia DR3 2091788711131580928","$T_{eff}=2600\ K^{(b)}$","2300+2200","L0+L1"
"Gaia DR3 2110763429967938944","M8.1D","2900+2200","M5.5+L1"
"Gaia DR3 2256170028808590848","$T_{eff}=2900\ K^{(b)}$","2700+1400","M7+L8-9"
"Gaia DR3 231029348869153664","M9.6","2300+1800","L0+L4-5"
"Gaia DR3 2515316058958275712","$M7^{(a)}$","3000+2000","M5-5.5+L2"
"Gaia DR3 2523085654797795072","M8.5D","2700+2000","M7+L2"
"Gaia DR3 2567912018011466368","$T_{eff}=2900\ K^{(b)}$","3000+1200","M5-5.5+T3"
"Gaia DR3 2576831737372711424","$M7.5^{(a)}$","3000+1850","M5-5.5+L4"
"Gaia DR3 2643324707358677376","$M8^{(a)}$","2800+1800","M6+L4-5"
"Gaia DR3 2653791405218462080","M8D","2800+1400","M6+L8-9"
"Gaia DR3 2664295722698373632","$M8^{(a)}$","2600+2500","M7.5-8+M8-8.5"
"Gaia DR3 2698639419364075776","M7.5D","2700+2100","M7+L2"
"Gaia DR3 2725788659260913664","$T_{eff}=2900\ K^{(b)}$","2900+1850","M5.5+L4"
"Gaia DR3 2729349977422840448","$T_{eff}=2800\ K^{(b)}$","2800+1200","M6+T3"
"Gaia DR3 2745889793400449280","dM7D","3100+2300","M4.5+L0"
"Gaia DR3 2760388194242523648","$M7.5^{(a)}$","2900+1400","M5.5+L8-9"
"Gaia DR3 287169179929734016","L1.1V","2700+1200","M7+T3"
"Gaia DR3 3197207916098620544","M7V","3000+1950","M5-5.5+L3"
"Gaia DR3 3653824855910718208","$M7.5^{(a)}$","3000+1950","M5-5.5+L3"
"Gaia DR3 3723714311802219264","$M7^{(a)}$","3000+2000","M5-5.5+L2"
"Gaia DR3 3728301444248438656","$M8^{(a)}$","2600+1200","M7.5-8+T3"
"Gaia DR3 3734381021997665664","M8D","2700+1650","M7+L5"
"Gaia DR3 3796380283663480192","$M7^{(a)}$","3000+1900","M5-5.5+L3"
"Gaia DR3 3817703387538653056","$M7^{(a)}$","2900+1200","M5.5+T3"
"Gaia DR3 3859217201391252352","M7V","2900+1200","M5.5+T3"
"Gaia DR3 3872859868654473472","L1.0","2400+1500","M8.5-9+L7"
"Gaia DR3 3939119291202411520","M7V","3000+2200","M5-5.5+L1"
"Gaia DR3 3941152563080469888","M8V","2900+1200","M5.5+T3"
"Gaia DR3 3956361626390842880","M9.0","2500+1900","M8-8.5+L3"
"Gaia DR3 4015601083807891072","M7V","3000+1300","M5-5.5+T0"
"Gaia DR3 4466153289283301888","M7V","3000+2100","M5-5.5+L2"
"Gaia DR3 5704751243890719360","M8D","2800+2000","M6+L2"
"Gaia DR3 5711613300263054464","M8.5eD","2300+1200","L0+T3"
"Gaia DR3 577113243736040448","M7V","3000+1300","M5-5.5+T0"
"Gaia DR3 581438795494104192","M7V","2900+2800","M5.5+M6"
"Gaia DR3 589328302523920256","$M7.5^{(a)}$","2900+2100","M5.5+L2"
"Gaia DR3 589559479138831104","M7V","2900+1400","M5.5+L8-9"
"Gaia DR3 6047063337147025408","M7V","2700+2300","M7+L0"
"Gaia DR3 660770238769667072","M7V","3000+1300","M5-5.5+T0"
"Gaia DR3 661197128458856704","M7V","3000+2000","M5-5.5+L2"
"Gaia DR3 680639994432155520","$M7^{(a)}$","2900+1200","M5.5+T3"
"Gaia DR3 6854411292069453696","M7.5D","3200+2100","M4+L2"
"Gaia DR3 691988848512429696","M9V","2700+2250","M7+L0"
"Gaia DR3 699011944674714368","$M7^{(a)}$","3000+1300","M5-5.5+T0"
"Gaia DR3 728391853145549568","M7V","3000+2200","M5-5.5+L1"
"Gaia DR3 751390990698972544","M7V","2900+2000","M5.5+L2"
"Gaia DR3 786318631119065216","M8V","2700+1300","M7+T0"
"Gaia DR3 791966410035462656","M7V","2800+2100","M6+L2"
"Gaia DR3 876362135147079296","$M7.5^{(a)}$","2800+2200","M6+L1"
"Gaia DR3 9343104352772224","$M7^{(a)}$","3000+1200","M5-5.5+T3"
